Method,ROUGE-1,ROUGE-2,ROUGE-L,BLEU,Trainable Params,Trainable Params (num),Training Time (s),Training Time (min),Inference Time (s),VRAM (GB)
Base Model,0.301,0.151,0.281,0.201,N/A,,,,1.15,6.8
LoRA,0.382,0.184,0.341,0.271,1.8M (0.15%),1843200.0,3480.0,58.0,1.1,7.2
QLoRA,0.3912,0.1912,0.3521,0.2912,1.8M (0.15%),1843200.0,2760.0,46.0,1.05,5.1
Adapter (IA3),0.375,0.175,0.335,0.261,1.3M (0.10%),1331200.0,4140.0,69.0,1.12,8.4
Prompt-tuning,0.32,0.14,0.3,0.21,0.6M (0.05%),614400.0,2160.0,36.0,1.2,4.8
